,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
,AAPL,AMZN,GOOG,MSFT,NFLX,AAPL,AMZN,GOOG,MSFT,NFLX,AAPL,AMZN,GOOG,MSFT,NFLX,AAPL,AMZN,GOOG,MSFT,NFLX,AAPL,AMZN,GOOG,MSFT,NFLX,AAPL,AMZN,GOOG,MSFT,NFLX
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-22,41.11197280883789,74.26699829101562,55.33150100708008,86.78929138183594,278.1400146484375,43.125,74.26699829101562,55.33150100708008,91.7300033569336,278.1400146484375,43.48749923706055,75.12699890136719,56.14099884033203,92.7300033569336,284.5,42.9275016784668,73.78800201416016,55.12950134277344,91.36000061035156,274.45001220703125,42.95000076293945,74.76799774169922,55.80950164794922,92.05000305175781,283.8800048828125,123967600.0,97162000.0,26344000.0,24392800.0,8891500.0
2018-02-23,41.82696533203125,75.0,56.339500427246094,88.99378204345703,285.92999267578125,43.875,75.0,56.339500427246094,94.05999755859375,285.92999267578125,43.912498474121094,75.0,56.36399841308594,94.06999969482422,286.0,43.3849983215332,74.32499694824219,55.23569869995117,92.36000061035156,277.80999755859375,43.41749954223633,74.76699829101562,55.63199996948242,93.5999984741211,281.0,135249600.0,88362000.0,25220000.0,26329200.0,7301800.0
2018-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-26,42.653961181640625,76.09750366210938,57.1875,90.28053283691406,294.1600036621094,44.74250030517578,76.09750366210938,57.1875,95.41999816894531,294.1600036621094,44.84749984741211,76.14199829101562,57.198001861572266,95.44999694824219,295.6499938964844,44.0525016784668,75.3499984741211,56.33475112915039,94.25,287.010009765625,44.087501525878906,75.45999908447266,56.38999938964844,94.4000015258789,288.75,152648800.0,99100000.0,31182000.0,30199800.0,10268600.0
2018-02-27,42.51572799682617,75.5989990234375,55.91450119018555,89.1262435913086,290.6099853515625,44.59749984741211,75.5989990234375,55.91450119018555,94.19999694824219,290.6099853515625,45.119998931884766,76.33899688720703,57.20199966430664,95.83999633789062,297.3599853515625,44.540000915527344,75.3604965209961,55.900001525878906,94.19999694824219,290.5899963378906,44.775001525878906,76.2249984741211,57.0620002746582,95.73999786376953,294.7699890136719,155712400.0,96176000.0,35482000.0,25869100.0,9416500.0
2018-02-28,42.45138931274414,75.62249755859375,55.23649978637695,88.71940612792969,291.3800048828125,44.529998779296875,75.62249755859375,55.23649978637695,93.7699966430664,291.3800048828125,45.154998779296875,76.43499755859375,56.37649917602539,95.70999908447266,295.75,44.51250076293945,75.5999984741211,55.1619987487793,93.62999725341797,290.7799987792969,44.814998626708984,75.97550201416016,56.1515007019043,94.83999633789062,293.1000061035156,151128400.0,90300000.0,37652000.0,31167300.0,7653500.0
2018-03-01,41.707794189453125,74.67250061035156,53.47600173950195,87.84896850585938,290.3900146484375,43.75,74.67250061035156,53.47600173950195,92.8499984741211,290.3900146484375,44.94499969482422,75.92449951171875,55.50600051879883,94.56999969482422,295.25,43.165000915527344,73.25,53.35005187988281,91.83999633789062,283.8299865722656,44.6349983215332,75.68000030517578,55.39350128173828,93.98999786376953,292.75,195208000.0,136704000.0,50318000.0,37135600.0,11932100.0
2018-03-02,41.996177673339844,75.01249694824219,53.94599914550781,88.03819274902344,301.04998779296875,44.0525016784668,75.01249694824219,53.94599914550781,93.05000305175781,301.04998779296875,44.07500076293945,75.05249786376953,54.09994888305664,93.1500015258789,301.17999267578125,43.11249923706055,72.75050354003906,52.4057502746582,90.86000061035156,283.2300109863281,43.20000076293945,73.45500183105469,52.65399932861328,91.58000183105469,284.6499938964844,153816000.0,131752000.0,45432000.0,32830400.0,13345300.0
2018-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
