,count,mean,std,min,25%,50%,75%,max,abs_change,rel_change,max_fall,max_rise
AAPL,1132.0,93.67,45.7,34.31,49.46,78.53,135.27,180.96,130.12,335.04,-0.39,4.27
MSFT,1132.0,187.75,75.87,82.48,114.25,179.07,254.54,339.92,203.8,242.81,-0.29,3.12
GOOG,1132.0,85.44,32.2,48.81,58.24,71.75,114.98,150.71,68.05,129.39,-0.31,2.09
AMZN,1132.0,122.02,35.99,67.2,89.26,109.39,159.53,186.57,73.38,105.87,-0.45,1.78
NFLX,1132.0,402.3,116.76,166.37,320.69,369.85,502.37,691.69,-13.84,-5.37,-0.76,1.96
