,count,mean,std,min,25%,50%,75%,max,abs_change,rel_change,max_fall,max_rise
MSFT,2392.0,113.01,88.67,22.76,41.35,78.05,168.09,339.92,264.76,1152.52,-0.29,13.94
AAPL,2392.0,57.42,46.77,12.05,24.58,37.81,75.5,180.68,153.9,1039.59,-0.39,14.0
AMZN,2392.0,72.98,53.67,12.41,21.86,56.21,102.49,186.57,129.83,1009.52,-0.45,14.03
NFLX,2392.0,240.54,177.03,23.29,89.13,185.7,365.85,691.69,218.7,860.58,-0.76,28.69
GOOG,2392.0,58.07,34.76,19.08,29.89,50.34,69.42,150.71,101.16,519.12,-0.31,6.9
